S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1613;2020/03/11;InfoJobs (Uninstalled);4;2;Yes;No;net.infojobs.mobile.android
1614;2020/03/11;Phone;989;1;Yes;No;com.android.incallui
1615;2020/03/12;WhatsApp;11663;305;Yes;No;com.whatsapp
1616;2020/03/12;BlaBlaCar;775;30;Yes;No;com.comuto
1617;2020/03/12;Browser;166;10;Yes;No;com.android.browser
1618;2020/03/12;Drive;125;2;Yes;No;com.google.android.apps.docs
1619;2020/03/12;Instagram;259;3;Yes;No;com.instagram.android
1620;2020/03/12;Tinder (Uninstalled);13;1;Yes;No;com.tinder
1621;2020/03/12;Cleaner;0;1;No;Yes;com.miui.cleanmaster
1622;2020/03/12;System launcher;1062;200;No;Yes;com.miui.home
1623;2020/03/12;EL PAÍS;1795;35;Yes;No;com.elpais.elpais
1624;2020/03/12;Maps;414;10;Yes;No;com.google.android.apps.maps
1625;2020/03/12;Contacts and dialer;60;6;Yes;No;com.android.contacts
1626;2020/03/12;Gmail;1968;70;Yes;No;com.google.android.gm
1627;2020/03/12;Clock;40;6;Yes;No;com.android.deskclock
1628;2020/03/12;Messaging;79;2;Yes;No;com.android.mms
1629;2020/03/12;Android system;12;6;No;Yes;android
1630;2020/03/12;Meditation Timer;1;1;Yes;No;uk.co.telesense.tm.free
1631;2020/03/12;Chrome;309;7;Yes;No;com.android.chrome
1632;2020/03/12;Google;8;1;Yes;No;com.google.android.googlequicksearchbox
1633;2020/03/12;Files;3;1;No;Yes;com.android.documentsui
1634;2020/03/12;Twitter;110;2;Yes;No;com.twitter.android
1635;2020/03/12;YouTube;42;1;Yes;No;com.google.android.youtube
1636;2020/03/12;Gallery;16;1;Yes;No;com.miui.gallery
1637;2020/03/12;System UI;24;11;No;Yes;com.android.systemui
1638;2020/03/12;Spotify;143;4;No;No;com.spotify.music
1639;2020/03/12;Manage calls;0;1;No;Yes;com.android.server.telecom
1640;2020/03/12;LinkedIn (Uninstalled);1622;79;Yes;No;com.linkedin.android
1641;2020/03/12;Phone;975;4;Yes;No;com.android.incallui
1642;2020/03/14;WhatsApp;6957;96;Yes;No;com.whatsapp
1643;2020/03/13;WhatsApp;6028;148;Yes;No;com.whatsapp
1644;2020/03/13;Browser;98;2;Yes;No;com.android.browser
1645;2020/03/13;EL PAÍS;753;12;Yes;No;com.elpais.elpais
1646;2020/03/14;System launcher;523;38;No;Yes;com.miui.home
1647;2020/03/14;Instagram;394;4;Yes;No;com.instagram.android
1648;2020/03/14;EL PAÍS;3069;10;Yes;No;com.elpais.elpais
1649;2020/03/13;System launcher;811;108;No;Yes;com.miui.home
1650;2020/03/14;Contacts and dialer;5;1;Yes;No;com.android.contacts
1651;2020/03/13;Santander;333;17;Yes;No;es.bancosantander.apps
1652;2020/03/13;Contacts and dialer;4;2;Yes;No;com.android.contacts
1653;2020/03/13;Clock;12;1;Yes;No;com.android.deskclock
1654;2020/03/14;Android system;2;1;No;Yes;android
1655;2020/03/13;Android system;5;2;No;Yes;android
1656;2020/03/14;Clock;47;3;Yes;No;com.android.deskclock
1657;2020/03/14;Chrome;250;5;Yes;No;com.android.chrome
